,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region_Code
인천,서구,31,35,29,12,19,64,81,25,28,46,16,20,11,38,19,17,24,22,28,8,11,20,38,28
인천,연수구,8,7,3,10,8,16,17,6,10,14,3,5,5,9,10,5,8,9,12,6,5,7,10,28
인천,옹진군,5,8,2,2,7,10,7,8,7,10,2,8,2,4,3,0,0,1,2,1,0,0,0,28
인천,중구,5,6,9,2,10,25,26,6,4,13,8,14,3,12,9,5,4,2,4,3,3,3,5,28
광주,광산구,4,3,3,1,1,1,2,2,2,2,1,1,2,0,1,1,6,3,2,1,0,0,0,29
광주,남구,7,5,4,3,0,2,0,2,3,1,1,0,0,0,0,0,1,1,0,1,0,0,0,29
광주,동구,2,0,3,0,0,1,2,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,1,29
광주,북구,11,6,0,10,6,7,3,3,2,5,2,0,1,2,0,0,1,0,1,1,0,0,2,29
광주,서구,8,3,7,2,1,4,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,29
대전,대덕구,6,3,0,2,1,2,3,0,2,3,3,0,0,1,1,0,0,1,1,0,0,1,0,30
대전,동구,7,4,1,4,2,3,6,1,7,2,2,1,1,0,1,0,0,0,1,0,0,2,0,30
대전,서구,7,7,7,1,5,6,7,7,8,4,2,0,1,1,1,2,0,0,0,1,0,1,2,30
대전,유성구,2,1,1,3,0,2,3,1,2,5,1,3,1,0,2,4,1,2,2,1,3,2,4,30
대전,중구,10,3,0,2,4,1,4,1,2,1,1,0,1,0,1,1,0,0,1,1,0,3,0,30
울산,남구,11,1,5,4,3,5,4,4,4,2,1,0,0,1,1,2,1,3,1,2,0,2,0,31
울산,동구,8,3,5,4,3,11,4,0,4,5,1,0,0,2,1,0,1,0,0,1,1,0,0,31
울산,북구,3,1,1,3,2,3,3,1,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,31
울산,울주군,1,1,3,1,1,1,4,1,3,1,3,1,0,0,0,4,1,0,0,0,1,1,1,31
울산,중구,9,4,4,1,4,3,1,1,5,0,0,1,0,0,2,0,0,0,1,0,1,0,0,31
경기,가평군,2,5,1,0,2,2,3,4,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,41
경기,고양시 덕양구,31,18,17,17,38,37,52,29,26,44,27,16,15,31,53,50,38,33,21,17,14,24,16,41
경기,고양시 일산동구,0,0,0,0,6,38,35,15,21,28,10,8,11,20,13,11,17,6,13,9,3,10,18,41
경기,고양시 일산서구,16,20,19,19,27,47,34,14,29,44,16,10,12,25,19,21,20,18,17,17,13,10,25,41
경기,과천시,2,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,41
경기,광명시,12,7,5,5,6,7,10,2,9,8,2,3,2,2,1,4,2,5,5,2,2,3,9,41
경기,광주시,4,5,6,2,3,4,5,3,3,6,1,0,0,0,3,5,1,6,1,0,2,5,3,41
경기,구리시,5,2,4,1,5,7,4,5,0,1,3,2,2,0,2,4,2,1,2,2,1,0,0,41
경기,군포시,4,5,2,2,2,9,11,3,2,5,2,0,4,1,0,2,0,1,0,3,0,0,3,41
경기,김포시,54,95,61,42,83,116,173,44,55,59,24,54,17,29,35,30,25,33,33,30,15,35,81,41
경기,남양주시,12,6,1,3,18,9,21,9,11,16,9,2,3,5,5,6,7,8,8,2,5,4,9,41
경기,동두천시,24,26,10,11,10,12,8,9,14,22,7,2,3,5,6,4,4,4,2,1,0,0,1,41
경기,부천시 소사구,5,3,0,3,3,11,10,5,9,6,2,5,1,0,2,0,0,0,0,0,0,0,0,41
경기,부천시 오정구,14,4,4,3,4,14,16,8,12,10,5,2,2,0,1,0,0,0,0,0,0,0,0,41
경기,성남시 분당구,8,0,1,2,5,7,11,7,6,9,2,2,8,13,13,18,10,14,9,8,8,5,1,41
경기,성남시 수정구,11,3,4,2,4,5,4,2,4,9,2,2,0,1,3,2,1,3,2,1,2,0,2,41
경기,성남시 중원구,7,4,5,2,2,6,11,2,4,11,0,1,0,2,2,2,1,2,4,1,1,0,0,41
경기,수원시 권선구,9,3,4,1,5,6,10,6,3,5,2,0,3,3,3,4,2,1,2,1,0,4,1,41
